            repository_name             | stars | primary_language
-----------------------------------------+-------+------------------
 kubernetes/kubernetes                   | 74260 | Go
 kubernetes/minikube                     | 20244 | Go
 kubernetes/kops                         | 12549 | Go
 kubernetes/ingress-nginx                |  9588 | Go
 kubernetes/dashboard                    |  9209 | Go
 kubernetes/community                    |  7661 | Jupyter Notebook
 kubernetes/kompose                      |  6002 | Go
 kubernetes/client-go                    |  4343 | Go
 kubernetes/autoscaler                   |  3976 | Go
 kubernetes/examples                     |  3922 | Shell
 kubernetes/kube-state-metrics           |  2784 | Go
 kubernetes/test-infra                   |  2568 | Go
 kubernetes/kubeadm                      |  2510 | Go
 kubernetes/website                      |  2373 | HTML
 kubernetes/enhancements                 |  1545 | Go
 kubernetes/sample-controller            |  1536 | Go
 kubernetes/kubectl                      |  1351 | Go
 kubernetes/node-problem-detector        |  1328 | Go
 kubernetes/ingress-gce                  |  1015 | Go
 kubernetes/git-sync                     |   972 | Go
 kubernetes/code-generator               |   811 | Go
 kubernetes/frakti                       |   626 | Go
 kubernetes/dns                          |   550 | Go
 kubernetes/perf-tests                   |   523 | Go
 kubernetes/apimachinery                 |   381 | Go
 kubernetes/cloud-provider-openstack     |   356 | Go
 kubernetes/release                      |   327 | Go
 kubernetes/apiserver                    |   322 | Go
 kubernetes/gengo                        |   318 | Go
 kubernetes/metrics                      |   299 | Go
 kubernetes/api                          |   277 | Go
 kubernetes/sample-apiserver             |   269 | Go
 kubernetes/cluster-registry             |   239 | Go
 kubernetes/sig-release                  |   236 | NULL
 kubernetes/k8s.io                       |   227 | Shell
 kubernetes/cloud-provider-alibaba-cloud |   218 | Go
 kubernetes/cloud-provider-aws           |   178 | Go
 kubernetes/kube-aggregator              |   172 | Go
 kubernetes/sample-cli-plugin            |   165 | Go
 kubernetes/apiextensions-apiserver      |   146 | Go
 kubernetes/org                          |   146 | Starlark
 kubernetes/utils                        |   137 | Go
 kubernetes/cli-runtime                  |   135 | Go
 kubernetes/security                     |   129 | NULL
 kubernetes/kube-openapi                 |   121 | Go
 kubernetes/cloud-provider-vsphere       |   116 | Go
 kubernetes/cri-api                      |   115 | Go
 kubernetes/kubelet                      |    99 | Go
 kubernetes/cloud-provider               |    98 | Go
 kubernetes/repo-infra                   |    71 | Starlark
 kubernetes/kubernetes-template-project  |    70 | NULL
 kubernetes/kube-scheduler               |    68 | Go
 kubernetes/kube-proxy                   |    63 | Go
 kubernetes/publishing-bot               |    57 | Go
 kubernetes/kube-controller-manager      |    47 | Go
 kubernetes/steering                     |    46 | NULL
 kubernetes/cloud-provider-gcp           |    45 | Shell
 kubernetes/component-base               |    41 | Go
 kubernetes/legacy-cloud-providers       |    31 | Go
 kubernetes/csi-api                      |    23 | Go
 kubernetes/cluster-bootstrap            |    20 | Go
 kubernetes/system-validators            |    16 | Go
 kubernetes/controller-manager           |    15 | Go
 kubernetes/cloud-provider-sample        |    15 | NULL
 kubernetes/mount-utils                  |    10 | Go
 kubernetes/node-api                     |    10 | Go
 kubernetes/funding                      |     7 | NULL
 kubernetes/csi-translation-lib          |     7 | Go
 kubernetes/component-helpers            |     6 | Go
 kubernetes/noderesourcetopology-api     |     4 | NULL
 kubernetes/.github                      |     1 | NULL
(71 rows)
